time,open,high,low,close,volume,Volume MA
1553731200,90,98.89,88,95.74,2319.41987,NaN
1553817600,95.74,98.19,94.91,98.13,3565.30155,NaN
1553904000,98.13,101,95.5,100.78,3540.27743,NaN
1553990400,100.78,110.89,99.61,110.7,11668.43675,NaN
1554076800,110.7,120.06,107.71,112.97,16508.93631,NaN
1554163200,113.28,125.84,111.03,123.69,15379.30754,NaN
1554249600,123.5,139.1,118.38,123.43,26058.20443,NaN
1554336000,123.78,131.65,119.02,122.87,8434.43214,NaN
1554422400,122.87,134.24,122.87,132.78,5803.26085,NaN
1554508800,132.84,137.83,128.01,130.93,4302.73303,NaN
1554595200,130.93,135.33,130.11,135.11,4221.6208,NaN
1554681600,135.11,137.85,128.67,135.3,5806.88245,NaN
1554768000,135.2,135.52,128.84,131.4,3535.66865,NaN
1554854400,131.32,133.38,126.43,129.74,4500.68937,NaN
1554940800,129.73,129.84,113.2,122.3,7797.38187,NaN
1555027200,122.3,123.03,114.98,118.93,4715.41854,NaN
1555113600,118.72,119.84,117.11,119.1,1390.26356,NaN
1555200000,119.1,123.16,117.88,122.57,1796.90255,NaN
1555286400,122.57,123.78,115.04,118.56,2777.43757,NaN
1555372800,118.48,131,115.54,120.61,5110.50898,6961.654212000004
1555459200,120.5,122.33,118.44,120.08,2189.18509,6955.142473000004
1555545600,120.08,125.59,119.7,123.52,5542.19338,7053.987064500005
1555632000,123.54,123.82,119.45,122.11,3781.2912,7066.037753000006
1555718400,121.87,124.47,121.3,123.1,1741.75754,6569.703792500006
1555804800,123.27,123.72,117.22,121.19,3007.97153,5894.655553500006
1555891200,121.22,122.88,118.75,121.65,1540.87078,5202.733715500006
1555977600,121.65,125.38,117.05,117.05,1997.62099,3999.704543500006
1556064000,117,120.28,110.8,115.02,5968.04325,3876.3850990000055
1556150400,115.45,118,106.91,108.89,4092.0347,3790.8237915000054
1556236800,108.89,114.33,106.38,110.27,3136.99664,3732.5369720000053
1556323200,110.27,111.43,108.76,110.01,1345.45349,3588.7286065000053
1556409600,110.01,111.48,108.88,110.73,1248.18569,3360.7937685000047
1556496000,110.73,111.5,106.77,107.72,3402.18252,3354.1194620000047
1556582400,107.72,111.71,106.93,110.98,1939.30731,3226.050359000005
1556668800,110.98,119.41,110.98,116.47,3771.25114,3024.743822500005
